Time,MeasuredLux,DutyCycle,SetpointLux
40527.0,15.0,0.3311,15.0
40633.0,15.01,0.3311,15.0
40738.0,14.99,0.3311,15.0
40844.0,14.99,0.3314,15.0
40949.0,15.02,0.3311,15.0
41055.0,14.97,0.3316,15.0
41161.0,15.03,0.3311,15.0
41267.0,15.0,0.3314,15.0
41372.0,14.98,0.3316,15.0
41477.0,15.01,0.3314,15.0
41583.0,14.98,0.3316,15.0
41689.0,15.0,0.3314,15.0
41795.0,15.0,0.3316,15.0
41900.0,14.99,0.3316,15.0
42005.0,14.98,0.3319,15.0
42111.0,15.04,0.3311,15.0
42218.0,15.01,0.3316,15.0
42323.0,15.06,0.3311,15.0
42429.0,15.01,0.3309,15.0
42534.0,14.98,0.3314,15.0
42639.0,14.98,0.3316,15.0
42745.0,14.99,0.3316,15.0
42851.0,15.0,0.3316,15.0
42957.0,15.05,0.3309,15.0
43062.0,14.96,0.3316,15.0
43168.0,14.98,0.3319,15.0
43273.0,15.01,0.3316,15.0
43378.0,14.98,0.3316,15.0
43484.0,15.07,0.3311,15.0
43589.0,14.99,0.3316,15.0
43695.0,15.0,0.3316,15.0
43800.0,15.0,0.3316,15.0
43905.0,15.04,0.3314,15.0
44011.0,15.04,0.3311,15.0
44116.0,14.96,0.3316,15.0
44222.0,14.99,0.3316,15.0
44327.0,15.0,0.3316,15.0
44433.0,14.99,0.3319,15.0
44538.0,15.0,0.3316,15.0
44643.0,14.98,0.3319,15.0
44749.0,15.04,0.3316,15.0
44854.0,15.01,0.3316,15.0
44960.0,15.1,0.3306,15.0
45065.0,15.01,0.3309,15.0
45171.0,15.07,0.3306,15.0
45276.0,14.96,0.3316,15.0
45381.0,15.01,0.3311,15.0
45487.0,15.0,0.3314,15.0
45592.0,15.02,0.3311,15.0
45698.0,15.01,0.3314,15.0
45803.0,14.93,0.3321,15.0
45909.0,14.95,0.3324,15.0
46014.0,15.01,0.3321,15.0
46119.0,15.02,0.3321,15.0
46225.0,15.05,0.3314,15.0
46330.0,14.99,0.3316,15.0
46436.0,14.97,0.3321,15.0
46541.0,15.02,0.3319,15.0
46646.0,15.02,0.3316,15.0
46752.0,15.01,0.3314,15.0
46857.0,15.0,0.3311,15.0
46963.0,14.94,0.3319,15.0
47068.0,15.02,0.3314,15.0
47174.0,14.99,0.3316,15.0
47279.0,15.03,0.3309,15.0
47385.0,14.98,0.3311,15.0
47490.0,14.97,0.3314,15.0
47596.0,15.0,0.3314,15.0
47701.0,14.98,0.3316,15.0
47807.0,15.01,0.3311,15.0
47912.0,15.01,0.3319,15.0
48017.0,15.03,0.3316,15.0
48123.0,14.99,0.3319,15.0
48228.0,15.01,0.3314,15.0
48334.0,14.99,0.3314,15.0
48439.0,15.0,0.3311,15.0
48545.0,14.95,0.3316,15.0
48650.0,14.99,0.3314,15.0
48755.0,15.03,0.3309,15.0
48861.0,14.97,0.3316,15.0
48966.0,15.02,0.3311,15.0
49072.0,15.0,0.3314,15.0
49177.0,15.0,0.3314,15.0
49282.0,14.99,0.3316,15.0
49388.0,15.01,0.3314,15.0
49493.0,15.0,0.3311,15.0
49599.0,14.97,0.3316,15.0
49704.0,15.05,0.3314,15.0
49810.0,14.98,0.3319,15.0
49915.0,15.02,0.3316,15.0
50020.0,14.96,0.3319,15.0
50126.0,15.0,0.3316,15.0
50231.0,15.0,0.3316,15.0
50337.0,14.96,0.3324,15.0
50442.0,15.01,0.3319,15.0
50548.0,15.02,0.3316,15.0
50653.0,15.07,0.3314,15.0
50758.0,15.06,0.3314,15.0
50864.0,14.98,0.3319,15.0
50969.0,15.01,0.3314,15.0
51075.0,15.03,0.3314,15.0
51180.0,14.93,0.3321,15.0
51285.0,14.99,0.3319,15.0
51391.0,14.99,0.3316,15.0
51496.0,14.97,0.3321,15.0
51602.0,15.02,0.3316,15.0
51707.0,15.0,0.3316,15.0
51813.0,15.03,0.3309,15.0
51918.0,14.96,0.3316,15.0
52023.0,15.04,0.3311,15.0
52129.0,15.0,0.3314,15.0
52235.0,15.04,0.3309,15.0
52340.0,14.96,0.3316,15.0
52446.0,14.96,0.3319,15.0
52551.0,14.99,0.3319,15.0
52656.0,15.0,0.3319,15.0
52762.0,14.96,0.3324,15.0
52867.0,15.06,0.3316,15.0
52973.0,15.02,0.3311,15.0
53078.0,14.99,0.3314,15.0
53184.0,15.03,0.3311,15.0
53289.0,15.04,0.3306,15.0
53394.0,15.02,0.3309,15.0
53500.0,15.0,0.3311,15.0
53605.0,14.96,0.3316,15.0
53711.0,15.07,0.3311,15.0
53816.0,14.98,0.3316,15.0
53921.0,14.98,0.3321,15.0
54027.0,15.01,0.3316,15.0
54132.0,14.97,0.3321,15.0
54238.0,15.03,0.3316,15.0
54343.0,14.99,0.3316,15.0
54449.0,15.12,0.3306,15.0
54554.0,14.94,0.3316,15.0
54659.0,14.9,0.3324,15.0
54765.0,15.02,0.3314,15.0
54870.0,14.99,0.3316,15.0
54976.0,14.98,0.3321,15.0
55081.0,15.02,0.3314,15.0
55186.0,15.08,0.3309,15.0
55292.0,14.97,0.3316,15.0
55397.0,15.0,0.3316,15.0
55503.0,15.02,0.3316,15.0
55608.0,15.01,0.3314,15.0
55714.0,14.99,0.3316,15.0
55819.0,14.99,0.3316,15.0
55924.0,14.98,0.3319,15.0
56030.0,15.0,0.3321,15.0
56135.0,15.01,0.3319,15.0
56241.0,14.96,0.3324,15.0
56346.0,15.02,0.3316,15.0
56452.0,15.06,0.3314,15.0
